iata,name,city,state,country,latitude,longitude
00M,Thigpen,Bay Springs,MS,USA,31.95376472,-89.23450472
0B1,Col. Dyke,Bethel,ME,USA,44.42506444,-70.80784778
0Q5,Shelter Cove,Shelter Cove,CA,USA,40.02764333,-124.0733639
15M,Luka,Luka,MS,USA,34.7723125,-88.16587444
1G0,Wood County,Bowling Green,OH,USA,41.391,-83.63013889
1R8,Bay Minette Municipal,Bay Minette,AL,USA,30.87046278,-87.81738167
27J,Newberry Municipal,Newberry,SC,USA,34.30927778,-81.63972222
2M2,Lawrenceburg Municipal,Lawrenceburg,TN,USA,35.2343025,-87.25793222
35S,Wasco State,Wasco,OR,USA,45.58944444,-120.6741667
3JC,Freeman,Junction City,KS,USA,39.04327556,-96.84328694
3Y3,Winterset Madison County,Winterset,IA,USA,41.36276778,-94.02106194
4A9,Isbell,Fort Payne,AL,USA,34.4728925,-85.72221722
4O5,Cherokee Municipal,Cherokee,OK,USA,36.78336306,-98.35035083
56M,Warsaw Municipal,Warsaw,MO,USA,38.34688889,-93.345425
5S8,St. Michael,St. Michael,AK,USA,63.49005056,-162.1103692
6B6,Minute Man Airfield,Stow,MA,USA,42.46045361,-71.51791444
73C,Lancaster,Lancaster,WI,USA,42.78054722,-90.68096028
7N1,Corning-Painted Post,Corning,NY,USA,42.17590722,-77.11219278
8G7,Zelienople,Zelienople,PA,USA,40.80161944,-80.16072889
9G1,West Penn,Tarentum,PA,USA,40.60423333,-79.82060611
AAT,Alturas Municipal,Alturas,CA,USA,41.483,-120.5653611
AGZ,Wagner Municipal,Wagner,SD,USA,43.06332694,-98.29618972
AMG,Bacon County,Alma,GA,USA,31.53605556,-82.50655556
ASJ,Tri-County,Ahoskie,NC,USA,36.29752583,-77.17085556
AZE,Hazelhurst,Hazelhurst,GA,USA,31.88465639,-82.64738778
BGD,Hutchinson County,Borger,TX,USA,35.70004194,-101.3940536
BNF,Baranof Warm Springs SPB,Baranof Warm Springs,AK,USA,57.08882583,-134.8331414
BVS,Skagit Regional/Bay View,Burlington/Mount Vernon,WA,USA,48.47088889,-122.4208611
C91,Dowagiac Municipal,Dowagiac,MI,USA,41.99293417,-86.1280125
CFV,Coffeyville Municipal,Coffeyville,KS,USA,37.0940475,-95.57189417
CLI,Clintonville Municipal,Clintonville,WI,USA,44.61381306,-88.73126667
CQB,Chandler Municipal,Chandler,OK,USA,35.72381556,-96.82027306
CXF,Coldfoot,Coldfoot,AK,USA,67.25163417,-150.2065672
DBN,"W. H. ""Bud"" Barron",Dublin,GA,USA,32.56445806,-82.98525556
DNS,Denison Municipal,Denison,IA,USA,41.9864325,-95.38072083
E01,Monahans-Roy Hurd Memorial,Monahans,TX,USA,31.58246583,-102.9090428
EFC,Belle Fourche Municipal,Belle Fourche,SD,USA,44.7342075,-103.8619925
ENM,Emmonak,Emmonak,AK,USA,62.78518639,-164.4910461
EYW,Key West International,Key West,FL,USA,24.55611111,-81.75955556
F87,Farmerville,Farmerville,LA,USA,32.72495583,-92.33716583
FKR,Frankfort Municipal,Frankfort,IN,USA,40.27343083,-86.56217028
FTY,Fulton County - Brown,Atlanta,GA,USA,33.77913889,-84.52136111
GDY,Grundy Municipal,Grundy,VA,USA,37.23240111,-82.12499083
GNV,Gainesville Regional,Gainesville,FL,USA,29.69005556,-82.27177778
GZH,Middleton,Evergreen,AL,USA,31.41580111,-87.04404333
HEF,Manassas Reg./Harry P Davis,Manassas,VA,USA,38.72141667,-77.51544444
HOE,Homerville,Homerville,GA,USA,31.05591667,-82.77413889
HVN,Tweed-New Haven,New Haven,CT,USA,41.26389889,-72.8871
I57,Pike County,Waverly,OH,USA,39.16693333,-82.928175
IJD,Windham,Willimantic,CT,USA,41.74404028,-72.18023583
IWI,Wiscasset,Wiscasset,ME,USA,43.96141667,-69.71255556
JVL,Rock County,Janesville,WI,USA,42.61958222,-89.04034028
K89,Macon-Fower Memorial,Macon,MO,USA,39.72870694,-92.464455
L15,Henderson,Las Vegas,NV,USA,35.97636444,-115.1327708
LCH,Lake Charles Regional,Lake Charles,LA,USA,30.1260975,-93.22340361
LNC,Lancaster,Lancaster,TX,USA,32.57919111,-96.71905111
LWS,Lewiston-Nez Perce County,Lewiston,ID,USA,46.37449806,-117.0153944
M39,Mena Intermountain Municipal,Mena,AR,USA,34.54539444,-94.20265278
MBG,Mobridge Municipal,Mobridge,SD,USA,45.54650361,-100.4079192
MGJ,Orange Cty,Montgomery,NY,USA,41.50998278,-74.26465056
MLI,Quad City,Moline,IL,USA,41.44852639,-90.50753917
MQW,Telfair-Wheeler,McRae,GA,USA,32.09577778,-82.88002778
MWK,Mount Airy-Surry County,Mount Airy,NC,USA,36.459735,-80.55295722
N67,Wings,Ambler,PA,USA,40.13647333,-75.26702972
O16,Garberville,Garberville,CA,USA,40.08597806,-123.8136397
OAR,Marina Municipal,Marina,CA,USA,36.68190278,-121.7624492
OLU,Columbus Municipal,Columbus,NE,USA,41.448,-97.34263889
OSC,Oscoda - Wurtsmith,Oscoda,MI,USA,44.45260972,-83.38036389
PAE,Snohomish County,Everett,WA,USA,47.90762861,-122.2815892
PHT,Henry County,Paris,TN,USA,36.33822472,-88.38287861
POU,Dutchess Cty,Poughkeepsie,NY,USA,41.62661111,-73.88411111
PUB,Pueblo Memorial,Pueblo,CO,USA,38.28908722,-104.4965722
Q44,Beaver Municipal,Beaver,OK,USA,36.79891472,-100.5298708
RIC,Richmond International,Richmond,VA,USA,37.50516667,-77.31966667
RSH,Russian Mission,Russian Mission,AK,USA,61.77967583,-161.3194772
S27,Kalispell City,Kalispell,MT,USA,48.17856944,-114.3037408
SAR,Sparta Community-Hunter,Sparta,IL,USA,38.14893833,-89.69870972
SDY,Sidney-Richland Municipal,Sidney,MT,USA,47.70685778,-104.1925544
SIY,Siskiyou County,Montague,CA,USA,41.78144167,-122.4681094
SPB,Scappoose Industrial Airpark,Scappoose,OR,USA,45.77250444,-122.8623611
SVC,Grant County,Silver City,NM,USA,32.63654694,-108.1563853
T74,Taylor Municipal,Taylor,TX,USA,30.57194444,-97.44316667
TLR,Mefford,Tulare,CA,USA,36.15630556,-119.3261667
TUP,Tupelo Municipal,Tupelo,MS,USA,34.26810833,-88.769895
U76,Mountain Home Municipal,Mountain Home,ID,USA,43.13125278,-115.7295944
UVA,Garner,Uvalde,TX,USA,29.21135028,-99.74358306
VUJ,Stanly County,Albemarle,NC,USA,35.41669472,-80.15079556
WMO,White Mountain,White Mountain,AK,USA,64.68919444,-163.4125556
Y14,Marv Skie-Lincoln County,Tea,SD,USA,43.45747694,-96.80199528
ZZV,Zanesville Municipal,Zanesville,OH,USA,39.94445833,-81.89210528
