Date,CO2,adjusted CO2
1958-03-01,315.70,314.44
1959-02-01,316.49,315.86
1959-12-01,315.58,316.35
1960-09-01,314.17,317.08
1961-06-01,319.77,317.63
1962-04-01,320.57,318.24
1963-01-01,318.74,318.70
1963-11-01,317.07,318.97
1964-11-01,317.68,319.58
1965-08-01,318.87,320.16
1966-06-01,323.75,321.57
1967-03-01,323.04,321.73
1967-12-01,321.96,322.74
1968-10-01,320.25,323.33
1969-07-01,325.88,325.18
1970-05-01,328.08,325.16
1971-02-01,326.68,326.03
1971-11-01,324.80,326.75
1972-09-01,324.84,327.87
1973-06-01,332.07,329.84
1974-03-01,331.48,330.14
1975-01-01,330.40,330.36
1975-10-01,328.34,331.50
1976-07-01,333.05,332.36
1977-05-01,336.75,333.76
1978-02-01,335.39,334.72
1978-12-01,334.95,335.77
1979-09-01,333.92,337.01
1980-06-01,341.17,338.91
1981-04-01,342.50,340.02
1982-01-01,340.75,340.71
1982-10-01,337.86,341.10
1983-08-01,342.38,343.75
1984-05-01,347.43,344.38
1985-02-01,345.99,345.31
1985-12-01,345.56,346.39
1986-09-01,344.85,348.02
1987-07-01,349.51,348.77
1988-04-01,353.59,351.02
1989-01-01,352.76,352.71
1989-11-01,351.30,353.37
1990-08-01,352.91,354.31
1991-05-01,359.34,356.21
1992-03-01,357.81,356.36
1992-12-01,355.40,356.25
1993-10-01,353.99,357.34
1994-07-01,359.55,358.79
1995-04-01,363.45,360.85
1996-02-01,363.24,362.54
1996-11-01,360.76,362.87
1997-08-01,362.50,363.94
1998-06-01,368.88,366.46
1999-03-01,369.59,368.14
1999-12-01,368.00,368.88
2000-10-01,366.73,370.15
2001-07-01,371.62,370.84
2002-05-01,375.55,372.31
2003-02-01,375.62,374.90
2003-11-01,374.35,376.51
2004-09-01,374.05,377.41
2005-06-01,382.08,379.61
2006-03-01,382.56,381.08
2007-01-01,382.58,382.53
2007-10-01,380.86,384.36
2008-07-01,386.25,385.49
2009-05-01,390.17,386.86
2010-02-01,390.08,389.34
2010-12-01,389.81,390.71
2011-09-01,389.00,392.43
2012-06-01,395.88,393.38
2013-04-01,398.35,395.60
2014-01-01,397.93,397.87
2014-10-01,395.65,399.23
2015-08-01,399.00,400.51
2016-05-01,407.66,404.28
2017-03-01,407.05,405.52
2017-12-01,406.75,407.68
2018-09-01,405.59,409.08
2019-07-01,411.85,411.03
2020-04-01,416.18,413.35
