symbol,date,price
MSFT,Jan 1 2000,39.81
MSFT,Aug 1 2000,28.4
MSFT,Mar 1 2001,22.25
MSFT,Oct 1 2001,23.65
MSFT,May 1 2002,20.71
MSFT,Dec 1 2002,21.03
MSFT,Jul 1 2003,21.56
MSFT,Mar 1 2004,20.46
MSFT,Oct 1 2004,23.02
MSFT,May 1 2005,23.82
MSFT,Dec 1 2005,24.29
MSFT,Jul 1 2006,22.51
MSFT,Feb 1 2007,26.63
MSFT,Sep 1 2007,28.04
MSFT,Apr 1 2008,27.34
MSFT,Nov 1 2008,19.66
MSFT,Jun 1 2009,23.42
MSFT,Jan 1 2010,28.05
AMZN,May 1 2000,48.31
AMZN,Dec 1 2000,15.56
AMZN,Aug 1 2001,8.94
AMZN,Mar 1 2002,14.3
AMZN,Oct 1 2002,19.36
AMZN,May 1 2003,35.89
AMZN,Dec 1 2003,52.62
AMZN,Jul 1 2004,38.92
AMZN,Feb 1 2005,35.18
AMZN,Sep 1 2005,45.3
AMZN,Apr 1 2006,35.21
AMZN,Nov 1 2006,40.34
AMZN,Jun 1 2007,68.41
AMZN,Jan 1 2008,77.7
AMZN,Aug 1 2008,80.81
AMZN,Apr 1 2009,80.52
AMZN,Nov 1 2009,135.91
IBM,Mar 1 2000,106.11
IBM,Oct 1 2000,88.5
IBM,May 1 2001,100.82
IBM,Dec 1 2001,109.36
IBM,Jul 1 2002,63.86
IBM,Feb 1 2003,71.13
IBM,Sep 1 2003,80.91
IBM,Apr 1 2004,81.04
IBM,Nov 1 2004,87.15
IBM,Jun 1 2005,68.93
IBM,Jan 1 2006,75.89
IBM,Aug 1 2006,76.35
IBM,Apr 1 2007,96.98
IBM,Nov 1 2007,100.9
IBM,Jun 1 2008,114.6
IBM,Jan 1 2009,89.46
IBM,Aug 1 2009,117
IBM,Mar 1 2010,125.55
GOOG,Feb 1 2005,187.99
GOOG,Sep 1 2005,316.46
GOOG,Apr 1 2006,417.94
GOOG,Nov 1 2006,484.81
GOOG,Jun 1 2007,522.7
GOOG,Jan 1 2008,564.3
GOOG,Aug 1 2008,463.29
GOOG,Apr 1 2009,395.97
GOOG,Nov 1 2009,583
AAPL,Mar 1 2000,33.95
AAPL,Oct 1 2000,9.78
AAPL,May 1 2001,9.98
AAPL,Dec 1 2001,10.95
AAPL,Jul 1 2002,7.63
AAPL,Feb 1 2003,7.51
AAPL,Sep 1 2003,10.36
AAPL,Apr 1 2004,12.89
AAPL,Nov 1 2004,33.53
AAPL,Jun 1 2005,36.81
AAPL,Jan 1 2006,75.51
AAPL,Sep 1 2006,76.98
AAPL,Apr 1 2007,99.8
AAPL,Nov 1 2007,182.22
AAPL,Jun 1 2008,167.44
AAPL,Jan 1 2009,90.13
AAPL,Aug 1 2009,168.21
AAPL,Mar 1 2010,223.02
